문제이름/선택지/선택시 주인공 대사/NPC 답변/정답여부,,
No4. 불이야!/돌 대신 나무가 있었다/돌 대신 나무가 떨어졌어. 화재가 난 건 나무가 타서 그런 게 아닐까?/나무는 주변에 많은데 그걸로 화재까지...? 일단 수고하셨어요 나중에 사람을 보내 확인해 보겠습니다./X,,
No4. 불이야!/돌 대신 주작이 있었다/돌이 떨어지는 게 아니라 주작이 날아올랐어. 던전에 불이 난 건 그것 때문인 것 같아./주작이 나타나다니 신기하네요! 수고하셨어요 나중에 사람을 보내 확인해 보겠습니다!/O,,
No4. 불이야!/돌 대신 물고기가 있었다/돌 대신 물고기가 떨어졌어. 불이 진압된 건 물고기 덕분인 것 아닐까?/물고기가 아니라 물이 있어야 불이 꺼지지 않을까요? 일단 알겠습니다. 나중에 사람을 보내 확인해 볼게요./X,,
No11. 끝없는 던전/거울처럼 왼쪽에 똑같은 던전이 있었다/원래 가던 진행방향이 아니라 반대로 가야 탈출구가 보였어. 그래서 앞으로만 가서는 못 빠져나갔던 거야./그렇군요. 마치 거울 같네요. 수고하셨어요! 나중에 사람을 보내 확인해 볼게요./O,,
No11. 끝없는 던전/거울처럼 아래에 똑같은 던전이 있었다/원래 가던 진행방향이 아니라 땅을 뚫고 아래로 가야 탈출구가 있었어./흙을 파신 건가요...? 정말 수고 많으셨어요... 나중에 사람을 보내 확인해 보겠습니다./X,,
No11. 끝없는 던전/거울을 보니 내가 너무 예뻤다/던전 안에 들어가서 문득 거울을 봤더니 내가 너무 예뻤어./...? 던전 안에 정신 혼란을 거는 무언가가 있나... 나중에 확인해 볼게요.../X,,
No2. 용의 그림자/커다란 토끼가 쫓아왔다/엄청나게 커진 토끼가 나를 쫓아왔어/그런 몬스터가 존재하던가요? 일단 수고 많으셨어요. 나중에 사람을 보내 확인해 보겠습니다./X,,
No2. 용의 그림자/커다란 공룡이 쫓아왔다/엄청나게 큰 용처럼 생긴 몬스터가 나를 쫓아왔어 실루엣은 아무래도 그 몬스터겠지?/그런 몬스터가 등장하다니...! 수고하셨어요! 나중에 사람을 보내 확인해 볼게요./O,,
No2. 용의 그림자/커다란 돌이 굴러왔다/엄청나게 큰 돌덩어리가 굴러왔어/돌이 굴러왔다고요...? 일단 수고 많으셨어요. 나중에 사람을 보내 확인해 보겠습니다./X,,
No3. 흰 털의 무언가/몬스터가 돌이 되어 있었다/몬스터가 전부 돌이 되어 있었어. 모험가에 옷에 붙은 털은 자기네 집 고양이 털이 아니었을까?/그 모험가 분은 동물을 기르지 않았던 것 같은데... 수고하셨어요 나중에 사람을 보내 확인해 볼게요./X,,
